Company Name,Ticker,Period Ending,Month and Year,Corresponding Date,Last Sale Price,Revenue ($M),Gross Profit Margin,EBITDA ($M),EBITDA Margin,Net Income ($M),Normalized Net Income ($M),Normalized Net Income Margin,Normalized Basic EPS,Diluted EPS incl extra items,Primary Industry,Debt to Equity,Current Ratio,EBITDA/Int Expense,US YOY CPI,Unemployment Rate,Fed Funds Rate,Book Value/Share,Year,Last Sale Price Change From Baseline (%),Revenue ($M) Change From Baseline (%),EBITDA ($M) Change From Baseline (%)
3M Company,NYSE:MMM,FQ42019,Dec2019,2019-12-31,176.42,8111.0,0.486376,2095.0,0.217605,969.0,974.0,0.120083,1.69009,1.65839,Specialty Chemicals ,2.1033969999999997,1.40653,17.70363,0.0228513,0.036000000000000004,0.0155,17.49525,2019.0,-15.092886707094047,3.1540124634363473,0.3833253473885961
3M Company,NYSE:MMM,FQ32019,Sep2019,2019-09-30,164.4,7991.0,0.47591,2322.0,0.251783,1583.0,1157.5,0.14485,2.00781,2.72,Specialty Chemicals ,1.895113,2.30405,22.25688,0.017113100000000003,0.035,0.019,18.61053,2019.0,-20.877851573779957,1.6278774004832761,11.26018207954001
3M Company,NYSE:MMM,FQ22019,Jun2019,2019-06-30,173.34,8171.0,0.47436,2225.0,0.23485399999999998,1127.0,1093.5,0.133826,1.89285,1.92,Specialty Chemicals ,1.663182,1.93407,20.95495,0.0164849,0.036000000000000004,0.024,17.52715,2019.0,-16.57522379439792,3.917079994912883,6.6123622424532815
3M Company,NYSE:MMM,FQ12019,Mar2019,2019-03-31,207.78,7863.0,0.480223,2087.0,0.226503,891.0,1015.5,0.12914899999999999,1.75844,1.51,Specialty Chemicals ,1.7718559999999999,2.0174,20.95192,0.018625199999999998,0.038,0.024300000000000002,16.83302,2019.0,0.0,0.0,0.0
A. O. Smith Corporation,NYSE:AOS,FQ42023,Dec2023,2023-12-31,82.44,988.1,0.374253,189.3,0.183281,137.3,112.0,0.11334799999999999,0.74948,0.91879,Building Products ,0.090435,1.58712,176.97727,0.0335212,0.037000000000000005,0.0533,12.50209,2023.0,54.61365341335333,32.063619353114134,44.72477064220183
A. O. Smith Corporation,NYSE:AOS,FQ32023,Sep2023,2023-09-30,66.13,937.5,0.379946,200.7,0.193386,135.4,110.25,0.1176,0.7345,0.9,Building Products ,0.087654,1.67988,85.875,0.036997,0.038,0.0533,12.65731,2023.0,24.024756189047253,25.30072173215717,53.44036697247704
A. O. Smith Corporation,NYSE:AOS,FQ22023,Jun2023,2023-06-30,72.78,960.8,0.40039499999999995,223.1,0.212531,157.0,130.5625,0.135889,0.86767,1.04,Building Products ,0.12756800000000001,1.81399,50.82222,0.0296918,0.036000000000000004,0.0508,12.54829,2023.0,36.49662415603901,28.41486233627371,70.56574923547399
A. O. Smith Corporation,NYSE:AOS,FQ12023,Mar2023,2023-03-31,69.15,966.4,0.387106,206.1,0.19339800000000001,126.9,116.8125,0.12087300000000001,0.77412,0.84,Building Products ,0.209641,1.83521,52.875,0.0498497,0.035,0.0483,11.89964,2023.0,29.688672168042018,29.16332531408713,57.56880733944952
A. O. Smith Corporation,NYSE:AOS,FQ42022,Dec2022,2022-12-31,57.24,936.1,0.372396,171.0,0.17455400000000001,-120.1,101.8125,0.10876200000000001,0.66475,-0.78611,Building Products ,0.21559699999999998,1.74877,51.77206,0.06454399999999999,0.035,0.0433,11.56046,2022.0,7.351837959489875,25.113605987703817,30.73394495412843
A. O. Smith Corporation,NYSE:AOS,FQ32022,Sep2022,2022-09-30,48.58,874.2,0.34889000000000003,168.8,0.172271,109.8,93.125,0.106525,0.60393,0.71,Building Products ,0.183487,1.74226,72.33333,0.0820167,0.035,0.0308,11.44031,2022.0,-8.889722430607655,16.840417000801924,29.051987767584098
A. O. Smith Corporation,NYSE:AOS,FQ22022,Jun2022,2022-06-30,54.68,965.9,0.346205,182.3,0.17010000000000003,126.2,103.3125,0.106959,0.66357,0.81,Building Products ,0.184714,1.75719,89.38095,0.0905976,0.036000000000000004,0.0158,11.60584,2022.0,2.5506376594148525,29.096498262496645,39.37308868501529
A. O. Smith Corporation,NYSE:AOS,FQ12022,Mar2022,2022-03-31,63.89,977.7,0.349391,178.9,0.16221699999999997,119.8,97.875,0.100107,0.62333,0.76,Building Products ,0.18287299999999998,1.71779,122.53333,0.0854246,0.036000000000000004,0.0033,11.595,2022.0,19.823705926481622,30.673616680032072,36.773700305810394
A. O. Smith Corporation,NYSE:AOS,FQ42021,Dec2021,2021-12-31,85.85,995.5,0.36223,185.8,0.179005,139.6,113.625,0.114138,0.7094,0.87104,Building Products ,0.125914,1.5665,136.35714,0.07036400000000001,0.039,0.0007000000000000001,11.62176,2021.0,61.00900225056263,33.052659716653295,42.04892966360856
A. O. Smith Corporation,NYSE:AOS,FQ32021,Sep2021,2021-09-30,61.07,914.6,0.37207500000000004,185.0,0.1815,131.6,104.0,0.11371,0.65331,0.82,Building Products ,0.078829,1.76888,190.1,0.0539035,0.047,0.0006,11.91552,2021.0,14.534883720930234,22.240042769313014,41.43730886850152
A. O. Smith Corporation,NYSE:AOS,FQ22021,Jun2021,2021-06-30,72.06,859.8,0.373807,171.1,0.17632,118.2,94.5625,0.10998100000000001,0.59012,0.73,Building Products ,0.08396100000000001,1.74829,195.77778,0.0539145,0.059000000000000004,0.0008,11.41047,2021.0,35.14628657164292,14.915797914995977,30.810397553516804
A. O. Smith Corporation,NYSE:AOS,FQ12021,Mar2021,2021-03-31,67.61,769.0,0.375292,144.9,0.163068,97.7,78.8125,0.102486,0.48792,0.6,Building Products ,0.08355800000000001,1.86365,149.9,0.026197599999999998,0.061,0.0006,11.52339,2021.0,26.80045011252813,2.780005346164121,10.779816513761462
A. O. Smith Corporation,NYSE:AOS,FQ42020,Dec2020,2020-12-31,54.82,834.5,0.388376,158.3,0.18394200000000002,120.0,94.9375,0.113765,0.58292,0.7368,Building Products ,0.085862,1.82557,163.075,0.0136201,0.067,0.0009,11.4255,2020.0,2.813203300825206,11.534349104517503,21.02446483180428
A. O. Smith Corporation,NYSE:AOS,FQ32020,Sep2020,2020-09-30,52.8,760.0,0.390921,160.6,0.18407800000000002,105.4,86.8125,0.114226,0.53783,0.65,Building Products ,0.09152300000000001,1.77479,103.375,0.0137133,0.078,0.0009,10.82012,2020.0,-0.9752438109527439,1.577118417535412,22.782874617736987
A. O. Smith Corporation,NYSE:AOS,FQ22020,Jun2020,2020-06-30,47.12,663.9,0.372797,113.8,0.141436,67.8,58.1875,0.087644,0.36095,0.42,Building Products ,0.199083,1.9641,47.52,0.0064573,0.11,0.0008,10.27239,2020.0,-11.62790697674419,-11.267040898155582,-12.996941896024476
A. O. Smith Corporation,NYSE:AOS,FQ12020,Mar2020,2020-03-31,37.81,636.9,0.37604,90.4,0.110378,51.7,42.3125,0.06643500000000001,0.2614,0.31939,Building Products ,0.24203399999999997,2.06337,43.22727,0.0153933,0.044000000000000004,0.0008,10.03039,2020.0,-29.088522130532628,-14.875701684041708,-30.886850152905197
A. O. Smith Corporation,NYSE:AOS,FQ42019,Dec2019,2019-12-31,47.64,750.9,0.39286099999999996,122.5,0.157277,91.3,72.1875,0.096134,0.43967,0.55608,Building Products ,0.200803,1.95747,51.06,0.0228513,0.036000000000000004,0.0155,10.26535,2019.0,-10.652663165791447,0.36086607858860353,-6.345565749235482
A. O. Smith Corporation,NYSE:AOS,FQ32019,Sep2019,2019-09-30,47.71,728.2,0.39027700000000004,133.7,0.15655,87.3,70.5,0.096814,0.4291,0.53,Building Products ,0.224006,2.05969,44.74194,0.017113100000000003,0.035,0.019,10.15376,2019.0,-10.52138034508627,-2.6730820636193533,2.2171253822629793
A. O. Smith Corporation,NYSE:AOS,FQ22019,Jun2019,2019-06-30,47.16,765.4,0.403318,150.9,0.173373,102.1,82.625,0.10795,0.49528,0.61,Building Products ,0.237957,2.18533,45.79412,0.0164849,0.036000000000000004,0.024,10.49309,2019.0,-11.552888222055522,2.298850574712634,15.366972477064214
A. O. Smith Corporation,NYSE:AOS,FQ12019,Mar2019,2019-03-31,53.32,748.2,0.391339,130.8,0.147821,89.3,69.75,0.093223,0.41566,0.53,Building Products ,0.19311599999999998,2.24919,68.2,0.018625199999999998,0.038,0.024300000000000002,10.46194,2019.0,0.0,0.0,0.0
Abbott Laboratories,NYSE:ABT,FQ42023,Dec2023,2023-12-31,110.07,10241.0,0.557562,2870.0,0.247827,1594.0,1208.75,0.11803000000000001,0.6915,0.90847,Pharmaceuticals ,0.40881300000000004,1.63789,18.61006,0.0335212,0.037000000000000005,0.0533,22.26142,2023.0,37.69076807605704,35.912408759124084,85.28082633957392
Abbott Laboratories,NYSE:ABT,FQ32023,Sep2023,2023-09-30,96.85,10143.0,0.545992,2593.0,0.223306,1436.0,1044.375,0.102965,0.60066,0.82,Pharmaceuticals ,0.416485,1.73777,15.62048,0.036997,0.038,0.0533,21.58971,2023.0,21.153365023767822,34.61181154611811,67.39832149774048
Abbott Laboratories,NYSE:ABT,FQ22023,Jun2023,2023-06-30,109.02,9978.0,0.5507110000000001,2463.0,0.216576,1375.0,1022.5,0.10247500000000001,0.58752,0.78,Pharmaceuticals ,0.454176,1.63798,15.49057,0.0296918,0.036000000000000004,0.0508,21.42152,2023.0,36.37728296222166,32.42203052422031,59.00581020012912
Abbott Laboratories,NYSE:ABT,FQ12023,Mar2023,2023-03-31,101.26,9747.0,0.5574020000000001,2484.0,0.22253,1318.0,1006.875,0.103301,0.57808,0.75001,Pharmaceuticals ,0.457294,1.6777,16.23529,0.0498497,0.035,0.0483,21.283,2023.0,26.670002501876418,29.356337093563372,60.361523563589415
Abbott Laboratories,NYSE:ABT,FQ42022,Dec2022,2022-12-31,109.79,10091.0,0.5506880000000001,2555.0,0.22237600000000002,1033.0,1068.75,0.105911,0.60932,0.58608,Pharmaceuticals ,0.486817,1.62851,17.16721,0.06454399999999999,0.035,0.0433,21.11066,2022.0,37.34050537903429,33.921698739216986,64.94512588766946
Abbott Laboratories,NYSE:ABT,FQ32022,Sep2022,2022-09-30,96.76,10410.0,0.555331,2687.0,0.227665,1435.0,1098.75,0.105547,0.62679,0.81,Pharmaceuticals ,0.462044,1.85896,19.05674,0.0820167,0.035,0.0308,20.46085,2022.0,21.04078058543909,38.155275381552755,73.46675274370563
Abbott Laboratories,NYSE:ABT,FQ22022,Jun2022,2022-06-30,108.65,11257.0,0.561783,3304.0,0.265523,2018.0,1470.0,0.130585,0.83815,1.14,Pharmaceuticals ,0.45868200000000003,2.01388,25.0303,0.0905976,0.036000000000000004,0.0158,20.83691,2022.0,35.91443582687016,49.396151293961516,113.29890251775339
Abbott Laboratories,NYSE:ABT,FQ12022,Mar2022,2022-03-31,118.36,11895.0,0.580748,3834.0,0.296174,2447.0,1797.5,0.151113,1.02023,1.36942,Pharmaceuticals ,0.480619,1.85253,29.26718,0.0854246,0.036000000000000004,0.0033,20.21711,2022.0,48.061045784338255,57.86330457863305,147.51452550032278
Abbott Laboratories,NYSE:ABT,FQ42021,Dec2021,2021-12-31,140.74,11468.0,0.624258,3837.0,0.302406,1989.0,1772.5,0.15456,0.99467,1.11074,Pharmaceuticals ,0.534393,1.8496,29.97519,0.07036400000000001,0.039,0.0007000000000000001,20.29497,2021.0,76.05704278208658,52.19641672196417,147.70819883795997
Abbott Laboratories,NYSE:ABT,FQ32021,Sep2021,2021-09-30,118.13,10928.0,0.595259,3461.0,0.286786,2100.0,1558.125,0.14257999999999998,0.87806,1.17,Pharmaceuticals ,0.531121,1.82576,26.02256,0.0539035,0.047,0.0006,19.4663,2021.0,47.773329997498124,45.02986065029861,123.43447385409942
Abbott Laboratories,NYSE:ABT,FQ22021,Jun2021,2021-06-30,115.93,10223.0,0.564902,2833.0,0.240927,1189.0,1154.375,0.112919,0.64882,0.66,Pharmaceuticals ,0.543683,1.7938,21.14179,0.0539145,0.059000000000000004,0.0008,19.0657,2021.0,45.021265949462105,35.67352355673524,82.89218850871531
Abbott Laboratories,NYSE:ABT,FQ12021,Mar2021,2021-03-31,119.84,10456.0,0.579093,3110.0,0.25678999999999996,1793.0,1276.875,0.122118,0.71862,1.0,Pharmaceuticals ,0.545874,1.75068,23.03704,0.026197599999999998,0.061,0.0006,18.8888,2021.0,49.912434325744314,38.7657597876576,100.77469335054874
Abbott Laboratories,NYSE:ABT,FQ42020,Dec2020,2020-12-31,109.49,10701.0,0.593963,3551.0,0.298383,2162.0,1691.25,0.15804500000000002,0.94536,1.20127,Pharmaceuticals ,0.602672,1.71672,26.71507,0.0136201,0.067,0.0009,18.50917,2020.0,36.96522391793845,42.01725282017253,129.24467398321497
Abbott Laboratories,NYSE:ABT,FQ32020,Sep2020,2020-09-30,108.83,8853.0,0.552016,2255.0,0.221055,1232.0,825.625,0.09325900000000001,0.46528,0.69,Pharmaceuticals ,0.587529,1.69543,16.45985,0.0137133,0.078,0.0009,17.70858,2020.0,36.13960470352765,17.491705374917053,45.577792123950935
Abbott Laboratories,NYSE:ABT,FQ22020,Jun2020,2020-06-30,91.43,7328.0,0.554721,1552.0,0.174672,537.0,366.25,0.049978999999999996,0.20658,0.3,Pharmaceuticals ,0.63897,1.5714,11.58209,0.0064573,0.11,0.0008,17.27053,2020.0,14.37327995996999,-2.7471798274717982,0.19367333763718528
Abbott Laboratories,NYSE:ABT,FQ12020,Mar2020,2020-03-31,78.91,7726.0,0.57533,1634.0,0.176935,564.0,426.875,0.055251,0.24132,0.31123,Pharmaceuticals ,0.600519,1.43394,11.7554,0.0153933,0.044000000000000004,0.0008,17.08346,2020.0,-1.2884663497623232,2.534837425348374,5.487411233053583
Abbott Laboratories,NYSE:ABT,FQ42019,Dec2019,2019-12-31,86.86,8314.0,0.588886,2268.0,0.239956,1049.0,855.625,0.10291299999999999,0.48042,0.58619,Pharmaceuticals ,0.610172,1.44224,14.30793,0.0228513,0.036000000000000004,0.0155,17.63855,2019.0,8.656492369276961,10.338420703384207,46.41704325371207
Abbott Laboratories,NYSE:ABT,FQ32019,Sep2019,2019-09-30,83.67,8076.0,0.5842,2007.0,0.215081,960.0,689.375,0.08535999999999999,0.38914,0.53,Pharmaceuticals ,0.62466,1.53646,12.49102,0.017113100000000003,0.035,0.019,17.9914,2019.0,4.665999499624723,7.1798274717982755,29.567462879276952
Abbott Laboratories,NYSE:ABT,FQ22019,Jun2019,2019-06-30,84.1,7979.0,0.5890460000000001,2013.0,0.218699,1006.0,688.75,0.08632,0.38937,0.56,Pharmaceuticals ,0.629177,1.67678,12.45833,0.0164849,0.036000000000000004,0.024,17.92805,2019.0,5.203902927195393,5.892501658925017,29.954809554551325
Abbott Laboratories,NYSE:ABT,FQ12019,Mar2019,2019-03-31,79.94,7535.0,0.580623,1549.0,0.17013899999999998,672.0,395.0,0.052422,0.22401,0.37884,Pharmaceuticals ,0.641266,1.58115,9.49123,0.018625199999999998,0.038,0.024300000000000002,17.52938,2019.0,0.0,0.0,0.0
AbbVie Inc.,NYSE:ABBV,FQ42023,Dec2023,2023-12-31,154.97,14301.0,0.7010689999999999,6625.0,0.450178,822.0,2621.125,0.183282,1.47919,0.45767,Biotechnology ,5.826584,0.87212,11.88165,0.0335212,0.037000000000000005,0.0533,5.86656,2023.0,92.29432932125573,82.69034236075626,79.44203683640303
AbbVie Inc.,NYSE:ABBV,FQ32023,Sep2023,2023-09-30,149.06,13927.0,0.5357930000000001,4708.0,0.323975,1778.0,1301.375,0.09344200000000001,0.73649,1.0,Biotechnology ,5.044274,0.95545,8.48288,0.036997,0.038,0.0533,6.85024,2023.0,84.96091326467304,77.9126213592233,27.518959913326114
AbbVie Inc.,NYSE:ABBV,FQ22023,Jun2023,2023-06-30,134.73,13865.0,0.6965009999999999,7032.0,0.493472,2024.0,2750.125,0.19835,1.55638,1.13922,Biotechnology ,4.759885,0.89494,12.73913,0.0296918,0.036000000000000004,0.0508,7.29035,2023.0,67.1795508127559,77.12059274399591,90.465872156013
AbbVie Inc.,NYSE:ABBV,FQ12023,Mar2023,2023-03-31,159.37,12225.0,0.675092,5169.0,0.408179,239.0,1594.875,0.13046,0.90106,0.12881,Biotechnology ,4.695256,0.96006,9.3472,0.0498497,0.035,0.0483,7.52508,2023.0,97.75406377962527,56.17015840572305,40.00541711809317
AbbVie Inc.,NYSE:ABBV,FQ42022,Dec2022,2022-12-31,161.61,15121.0,0.726605,8260.0,0.5332979999999999,2473.0,3524.75,0.23310199999999998,1.98242,1.3847,Biotechnology ,3.735928,0.96361,14.74337,0.06454399999999999,0.035,0.0433,9.75253,2022.0,100.53356495843158,93.16555952989269,123.72697724810402
AbbVie Inc.,NYSE:ABBV,FQ32022,Sep2022,2022-09-30,134.21,14812.0,0.6625700000000001,7235.0,0.476235,3949.0,2853.875,0.19267299999999998,1.61145,2.21,Biotechnology ,4.367567,0.92822,12.91964,0.0820167,0.035,0.0308,9.04433,2022.0,66.53430946767588,89.21819110884006,95.96424702058505
AbbVie Inc.,NYSE:ABBV,FQ22022,Jun2022,2022-06-30,153.16,14583.0,0.7158329999999999,7789.0,0.5201939999999999,924.0,3235.375,0.221859,1.8279,0.51,Biotechnology ,4.982843,0.84414,14.00899,0.0905976,0.036000000000000004,0.0158,8.28777,2022.0,90.04839310088099,86.29279509453245,110.96966413867821
AbbVie Inc.,NYSE:ABBV,FQ12022,Mar2022,2022-03-31,162.11,13538.0,0.702984,7270.0,0.522381,4490.0,2900.125,0.214221,1.63849,2.51887,Biotechnology ,4.514404,0.81513,13.26642,0.0854246,0.036000000000000004,0.0033,9.21572,2022.0,101.15398932870083,72.94328053142564,96.91224268689056
AbbVie Inc.,NYSE:ABBV,FQ42021,Dec2021,2021-12-31,135.4,14886.0,0.793094,8769.0,0.577455,4044.0,3866.5,0.25974,2.17463,2.26109,Biotechnology ,5.027013999999999,0.79354,15.27112,0.07036400000000001,0.039,0.0007000000000000001,8.71327,2021.0,68.01091946891674,90.1635155850792,137.51354279523292
AbbVie Inc.,NYSE:ABBV,FQ32021,Sep2021,2021-09-30,107.87,14342.0,0.697113,7036.0,0.47503799999999996,3179.0,2722.75,0.189844,1.53828,1.78,Biotechnology ,5.9466,1.01486,11.80537,0.0539035,0.047,0.0006,7.66486,2021.0,33.850353641891054,83.21410321921307,90.5742145178765
AbbVie Inc.,NYSE:ABBV,FQ22021,Jun2021,2021-06-30,112.64,13959.0,0.67777,6931.0,0.482126,766.0,2575.125,0.184477,1.44996,0.419,Biotechnology ,6.523423,0.90639,11.26992,0.0539145,0.059000000000000004,0.0008,7.11308,2021.0,39.76920213425983,78.3214103219213,87.73022751895991
AbbVie Inc.,NYSE:ABBV,FQ12021,Mar2021,2021-03-31,108.22,13010.0,0.677786,6676.0,0.497309,3553.0,2398.0,0.18431899999999998,1.35557,1.99,Biotechnology ,6.229811,0.83155,10.56329,0.026197599999999998,0.061,0.0006,7.76479,2021.0,34.284650701079535,66.19826264690853,80.8234019501625
AbbVie Inc.,NYSE:ABBV,FQ42020,Dec2020,2020-12-31,107.15,13858.0,0.7539319999999999,8374.0,0.5878909999999999,36.0,3569.875,0.257603,2.01006,0.00905,Biotechnology ,6.650148000000001,0.84341,13.4368,0.0136201,0.067,0.0009,7.40794,2020.0,32.95694254870332,77.03117015840573,126.81473456121344
AbbVie Inc.,NYSE:ABBV,FQ32020,Sep2020,2020-09-30,87.59,12902.0,0.6102920000000001,5839.0,0.43900100000000003,2308.0,1858.125,0.144018,1.05038,1.29,Biotechnology ,5.69684,0.95153,9.26825,0.0137133,0.078,0.0009,8.65011,2020.0,8.685941183769698,64.81859989780277,58.152762730227515
AbbVie Inc.,NYSE:ABBV,FQ22020,Jun2020,2020-06-30,98.18,10425.0,0.64729,3753.0,0.34570700000000004,-738.0,974.125,0.093441,0.59145,-0.46,Biotechnology ,5.938026,0.86245,5.93829,0.0064573,0.11,0.0008,8.33653,2020.0,21.826529346072718,33.175779253960144,1.6522210184182016
AbbVie Inc.,NYSE:ABBV,FQ12020,Mar2020,2020-03-31,76.19,8619.0,0.774683,4204.0,0.474416,3010.0,2005.0,0.232625,1.35381,2.01468,Biotechnology ,,3.14237,7.46714,0.0153933,0.044000000000000004,0.0008,-5.02142,2020.0,-5.459734458369532,10.104752171691365,13.867822318526542
AbbVie Inc.,NYSE:ABBV,FQ42019,Dec2019,2019-12-31,88.54,8704.0,0.7695310000000001,3795.0,0.422449,2801.0,1765.0,0.20278,1.18855,1.87104,Biotechnology ,,3.17735,6.8873,0.0228513,0.036000000000000004,0.0155,-5.52569,2019.0,9.864747487281303,11.190597853857946,2.789815817984832
AbbVie Inc.,NYSE:ABBV,FQ32019,Sep2019,2019-09-30,75.72,8479.0,0.773558,4196.0,0.481424,1884.0,2023.125,0.23860399999999998,1.36605,1.26,Biotechnology ,,1.1528,8.85833,0.017113100000000003,0.035,0.019,-5.56269,2019.0,-6.042933366422639,8.316300459887584,13.651137594799568
AbbVie Inc.,NYSE:ABBV,FQ22019,Jun2019,2019-06-30,72.72,8255.0,0.779648,4031.0,0.47450000000000003,741.0,2013.75,0.24394300000000002,1.36064,0.49,Biotechnology ,,0.89133,11.41341,0.0164849,0.036000000000000004,0.024,-5.79422,2019.0,-9.765479588038223,5.454777721001533,9.182015167930661
AbbVie Inc.,NYSE:ABBV,FQ12019,Mar2019,2019-03-31,80.59,7828.0,0.783597,3692.0,0.45656599999999997,2456.0,1795.0,0.22930499999999998,1.21284,1.65078,Biotechnology ,,1.03661,9.677,0.018625199999999998,0.038,0.024300000000000002,-5.29414,2019.0,0.0,0.0,0.0
Accenture plc,NYSE:ACN,FQ42023,Aug2023,2023-08-31,323.77,15985.2,0.324151,2650.668,0.165054,1372.963,1484.25725,0.092851,2.35625,2.14999,IT Consulting & Other Services ,0.119017,1.29834,167.59712,0.0366511,0.038,0.0533,40.8949,2023.0,96.79674203744223,50.72491317278715,49.601595649214545
